YEAR,TERM,TERM_TEXT,CRN,SUB,NUM,SECT,SEQ,SECTION_TITLE,CREDITS,DAYS,TIMES,BLDG,ROOM,PROF,NOTES,MAX_ENROLL,DIST,INTERDISCIPLINARY_COURSE1,INTERDISCIPLINARY_COURSE2,INTERDISCIPLINARY_COURSE3,INTERDISCIPLINARY_COURSE4
2016,201601,Fall 2016,13087,ART,209,A,1,Basic Sculpture,1,  T    ,0140-0420pm,VAC,106,Savage C,,11,VPRQ,,,,
2016,201601,Fall 2016,13088,ART,209,B,1,Basic Sculpture,1,    R  ,0140-0420pm,VAC,106,Savage C,,11,VPRQ,,,,
2016,201601,Fall 2016,15378,ART,211,A,1,Intro to Digital Art,1,  T    ,0140-0420pm,BELK,CLASSROOM,Dietrick J,,12,VPRQ,DIG,,,
2016,201601,Fall 2016,15378,ART,211,A,1,Intro to Digital Art,1,  T    ,0140-0420pm,BELK,CLASSROOM,Dietrick J,,12,VPRQ,DIG,,,
2016,201601,Fall 2016,15379,ART,211,B,1,Intro to Digital Art,1,    R  ,0140-0420pm,BELK,CLASSROOM,Dietrick J,,12,VPRQ,DIG,,,
2016,201601,Fall 2016,15379,ART,211,B,1,Intro to Digital Art,1,    R  ,0140-0420pm,BELK,CLASSROOM,Dietrick J,,12,VPRQ,DIG,,,
2016,201601,Fall 2016,15703,ART,215,0,1,Introduction to Print Media,1,  T  R  ,1215-0130pm,VAC,105,Starr T,,12,VPRQ,,,,
2016,201601,Fall 2016,15705,ART,217,0,1,Works on Paper,1,  T  R  ,0940-1055am,VAC,104,Starr T,,12,VPRQ,,,,
2016,201601,Fall 2016,14940,ART,218,0,1,Modern Painting and Sculpture,1,  T  R  ,0940-1055am,VAC,108,Ligo L,,30,VPRQ,,,,
2016,201601,Fall 2016,15831,ART,219,0,1,Contemporary Art,1,  T  R  ,1215-0130pm,VAC,117,Smith S,,30,VPRQ,,,,
2016,201601,Fall 2016,14526,ART,222,0,1,Painted Women-Women Painting,1,  T  R  ,0940-1055am,VAC,117,Serebrennikov N,,30,VPRQ,GSS,,,
2016,201601,Fall 2016,14526,ART,222,0,1,Painted Women-Women Painting,1,  T  R  ,0940-1055am,VAC,117,Serebrennikov N,,30,VPRQ,GSS,,,
2016,201601,Fall 2016,14931,ART,330,0,1,Sem: French Impressionism,1,    R  ,0140-0420pm,VAC,108,Smith S,,15,,,,,
2016,201601,Fall 2016,12833,ART,390,0,1,Independent Study-Art History,1,      ,TBA,,,Staff S,PRM,1,,,,,
2016,201601,Fall 2016,10067,ART,391,0,1,Independent Study-Studio Art,1,      ,TBA,,,Staff S,PRM,1,,,,,
2016,201601,Fall 2016,10083,ART,400,0,1,Perspectives in Art History,1,   W   ,0130-0420pm,VAC,108,Serebrennikov N,PRM,9,,,,,
2016,201601,Fall 2016,10084,ART,401,0,1,Senior Exhibition/Examination,1,   W   ,0130-0420pm,VAC,223,Starr T,PRM,5,,,,,
2016,201601,Fall 2016,14085,ART,496,0,1,Senior Honors Thesis,1,      ,TBA,,,Staff S,PRM,5,,,,,
2016,201601,Fall 2016,15228,BIO,108,A,1,Human Biology,1,  T  R  ,0940-1055am,WALL,210,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,15228,BIO,108,A,1,Human Biology,1,  T  R  ,0940-1055am,WALL,210,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,15228,BIO,108,A,2,Human Biology,,   W   ,0130-0420pm,WATSON,140,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,15228,BIO,108,A,2,Human Biology,,   W   ,0130-0420pm,WATSON,140,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,15229,BIO,108,B,1,Human Biology,1,  T  R  ,0940-1055am,WALL,210,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,15229,BIO,108,B,1,Human Biology,1,  T  R  ,0940-1055am,WALL,210,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,15229,BIO,108,B,2,Human Biology,,    R  ,0140-0420pm,WATSON,140,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,15229,BIO,108,B,2,Human Biology,,    R  ,0140-0420pm,WATSON,140,McNally L,R,16,NSRQ,,,,
2016,201601,Fall 2016,10008,BIO,111,A,1,"Molecules, Genes & Cells",1, M  W  F ,0930-1020am,WALL,106,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10008,BIO,111,A,1,"Molecules, Genes & Cells",1, M  W  F ,0930-1020am,WALL,106,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10008,BIO,111,A,2,"Molecules, Genes & Cells",, M     ,0130-0420pm,WATSON,147,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10008,BIO,111,A,2,"Molecules, Genes & Cells",, M     ,0130-0420pm,WATSON,147,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10009,BIO,111,B,1,"Molecules, Genes & Cells",1,  T    ,0815-1055am,WATSON,147,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10009,BIO,111,B,1,"Molecules, Genes & Cells",1,  T    ,0815-1055am,WATSON,147,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10009,BIO,111,B,2,"Molecules, Genes & Cells",, M  W  F ,0930-1020am,WALL,106,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10009,BIO,111,B,2,"Molecules, Genes & Cells",, M  W  F ,0930-1020am,WALL,106,Hales K,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10091,BIO,111,C,1,"Molecules, Genes & Cells",1, M  W  F ,1030-1120am,WALL,210,Wessner D,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10091,BIO,111,C,1,"Molecules, Genes & Cells",1, M  W  F ,1030-1120am,WALL,210,Wessner D,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10091,BIO,111,C,2,"Molecules, Genes & Cells",,  T    ,0140-0420pm,WATSON,147,Wessner D,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10091,BIO,111,C,2,"Molecules, Genes & Cells",,  T    ,0140-0420pm,WATSON,147,Wessner D,B1,16,NSRQ,,,,
